diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,Patient_ID,Nodule_ID
v3.0.1,1.23.5,2.4.0,1.4.1,3.8.20,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},0b9beeba634aecfd62439c1850906895ec46d22b,3D,"(1.0, 1.0, 1.0)","(133, 512, 512)",-980.3521563594503,-1000.0,400.0,2771eb1e141ff0f774d6ab9631a5dc3b73345f1d,"(1.0, 1.0, 1.0)","(133, 512, 512)","(86, 297, 340, 8, 41, 50)",939,1,"(89.55378061767838, 315.0702875399361, 366.01490947816825)","(89.55378061767838, 315.0702875399361, 366.01490947816825)",-1000.0,-1000.0,938530405.0,0.04313472761459616,0.0,255.65753012405602,-934.0,0.5089387686127476,-999.7433439829606,-1000.0,-1000.0,66.0,0.0,999.7499181438031,15.630043066436471,938530405.0,0.9915097859753823,13.144990308725776,1.0076583687130212,0.055209194900045534,0.028146835017338508,0.014641493397871823,0.014807592689853525,0.6133890985718973,0.007658368713021022,0.03391120145686785,0.014641493397871823,0.9973623529729616,0.9968857380411728,0.9988492049145609,0.9984428690205864,-0.0003195675492767925,0.0034783437865759104,0.0014027977332925804,1.0038291843565106,0.9918987340798938,0.03799495818147246,0.002053669374382785,0.9959162432753952,2.007658368713021,0.03391120145686785,0.007362271521931336,757.880361890445,0.9895198577165973,0.017018442126229834,1.035523738302376,2.06047211061795,2.0959958489203263,2.0559768227463535,0.9955047121284031,0.8556615277182669,560.437962462416,0.7288477655198359,0.8155976079298763,0.5205190443126706,0.8769546417259826,0.9124783800283587,0.8724593538543854,2.2,0.44,0.64,6.4,174845.8,174851.2,174845.11666666667,0.31666666666666665,3.4,0.68,0.800000228774057,6.200000228774057,0.11666689544072369,1.3709505944546678,0.005324813631522897,139576.96000000002,2.8599943818146163,155.26198083067092,0.16534822239688066,5.081289886483366,931.027689030884,0.013788942307147046,1.0287539936102237,38.657082002129926,38.68583599574015,38.653443379481715,0.9963613773517928,0.052187102541750116,0.08094109615197376,0.0485484798935428,0.8853470201942869,0.2841910700581406,0.03259573163736925,5.146252591769272e-05,0.9505509837539924,LIDC-IDRI-0001,1
v3.0.1,1.23.5,2.4.0,1.4.1,3.8.20,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},118a0902267d8bbe81f8da2b81af12eb7c146f0a,3D,"(1.0, 1.0, 1.0)","(140, 512, 512)",-978.3487206595285,-1000.0,400.0,6e15995fed2defc0b2d9956be5b192141251e049,"(1.0, 1.0, 1.0)","(140, 512, 512)","(81, 300, 193, 4, 17, 11)",106,1,"(82.64150943396227, 307.5943396226415, 197.9056603773585)","(82.64150943396227, 307.5943396226415, 197.9056603773585)",-1000.0,-1000.0,106000000.0,-3.203426503814917e-16,0.0,0.0,-1000.0,0.0,-1000.0,-1000.0,-1000.0,0.0,0.0,1000.0,0.0,106000000.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,88.38461538461539,1.0,0.0,1.0,1.8541879774629182,1.8541879774629182,1.8541879774629182,1.0,0.7309685702796881,65.41841777300218,0.7336844056984848,0.8338171262699563,0.36471636636998767,0.8782663937571683,0.8782663937571683,0.8782663937571683,1.0,1.0,0.0,1.0,11236.0,11236.0,11236.0,1.0,1.0,1.0,8.8999644001424e-05,8.8999644001424e-05,8.8999644001424e-05,-3.203426503814917e-16,0.009433962264150943,0.0,2.3456459228197772,26.660377358490567,0.25151299394802423,3.5952296190815236,106.0,0.0,1.0,31.90566037735849,31.90566037735849,31.90566037735849,1.0,0.05285802380001617,0.05285802380001617,0.05285802380001617,0.0,1000000.0,0.0,0.0,0.0,LIDC-IDRI-0003,2
v3.0.1,1.23.5,2.4.0,1.4.1,3.8.20,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},af8c88993ad1c10bc811040c9490dc6cda0367cb,3D,"(1.0, 1.0, 1.0)","(241, 512, 512)",-986.3198327978616,-1000.0,400.0,d20b1b1bcfbce17a3ba71a92e927d087738af920,"(1.0, 1.0, 1.0)","(241, 512, 512)","(74, 139, 319, 4, 7, 9)",57,1,"(75.64912280701755, 141.6140350877193, 322.4561403508772)","(75.64912280701755, 141.6140350877193, 322.4561403508772)",-1000.0,-902.4000000000002,53737859.0,0.8470512512044546,0.0,11.110037148840043,-523.0,60.880886426592795,-965.3508771929825,-1000.0,-1000.0,477.0,1.2302960399846192,970.963159002622,3.0275619678091608,53737859.0,0.7722376115727915,10867.14004309018,9.779213586214867,12000.835809566315,549.6100261619499,43.65759995354234,36.28602735194069,0.1643140265829489,2.7413373320342633,1.154160234142354,25.99113877383488,0.7714969301911683,0.7538988740173179,0.9409321823060239,0.9158515338833055,-0.24442002516125888,0.4562087056170425,0.04317191282385424,2.707244288462319,0.5653981992948796,1.4422586572608347,0.4549827582776769,0.7277140823742239,5.414488576924639,1.173317221240411,19.98590682637076,34.515259953389034,0.7305477070016646,19.45888020395872,26.24672036958454,1.7929207352574739,27.931532996733907,1.6453122018039184,0.8585851602401385,1.6863704259605987,34.62409854494745,0.725355128598857,0.8272604588394062,0.2916684305857087,0.870955323424211,25.894702720035774,0.7310889070877725,1.0,0.14285714285714285,45.3469387755102,151.14285714285714,358.42857142857144,569.8571428571429,357.1867505229058,0.18377433242963545,3.857142857142857,0.5510204081632653,0.7500571428571429,135.57148571428573,0.040230284810587845,2.807354922057602,0.12280701754385964,292.12244897959187,3.1544989527542384,8.929824561403509,0.1566635887965528,5.302554632194521,44.01754385964912,16.502923976608187,21.94736842105263,35.45614035087719,71.45614035087719,35.233947919966994,0.8823397328324893,0.12896182530842096,17.31317235162421,0.03743459907658282,5.0028314028314025,0.015396686561020789,200.10811436585433,1.7448968192317795,13.837206078632503,LIDC-IDRI-0004,1
v3.0.1,1.23.5,2.4.0,1.4.1,3.8.20,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},abf0382e2fef988b8427cefbcc3e612a85aa16c8,3D,"(1.0, 1.0, 1.0)","(145, 512, 512)",-974.6394893777782,-1000.0,400.0,363044df534a3575107b0a6d0ffb7c7f5fe6c95c,"(1.0, 1.0, 1.0)","(145, 512, 512)","(103, 178, 273, 10, 38, 42)",928,1,"(107.73706896551724, 194.39116379310346, 290.7521551724138)","(107.73706896551724, 194.39116379310346, 290.7521551724138)",-1000.0,-845.4999999999997,865209315.0,1.717055782488363,16.5,11.363575056567884,-402.0,57.487925925237796,-961.8739224137931,-1000.0,-1000.0,598.0,22.73178959446376,965.57631698505,2.739467390565635,865209315.0,0.5759535708977409,7136.181302718119,8.209926438138968,6331.991932471183,298.50026017017643,24.331627132511777,13.38186053689874,0.2945328086802955,1.7375905208433546,2.0249677416476626,10.191199777877339,0.7387741934068545,0.7040460683637281,0.9803658433472028,0.9442920505178274,-0.2631657451115118,0.747781450401023,0.06909428756775965,2.329558823462312,0.4287147424525794,2.8132111064415812,0.7505810187999017,0.649213052586232,4.659117646924625,2.248554526951827,9.428371917352633,437.0701501049615,0.5319871863942004,11.394488494839663,18.07626055635237,1.5923438593726251,18.924204970764688,1.3275090236233211,0.7424389701474596,2.38405860514798,674.7450894439118,0.821434939261583,0.883040450928382,0.2937731707321467,0.9235189163855391,17.93685335204602,0.667668113777408,17.0,0.07981220657276995,18.771980867993562,62.53051643192488,1460.338028169014,1534.7981220657277,1459.0843273455491,0.11689028047801235,153.23474178403757,0.7194119332583923,0.8705636316798908,59.28996895249366,0.06445223587445294,4.485340709783624,0.22952586206896552,1441.3562564746853,3.9753646935165294,134.41594827586206,0.1448447718489893,5.136254273186682,534.4849137931035,10.328533739595716,16.092672413793103,21.46551724137931,42.418103448275865,21.076080538761957,0.771404568038416,0.2539393868167082,13.904382394479544,0.06252771866636364,6.788652267140247,0.0027797850351161295,400.91070604523964,0.05970413431826828,4.995331969285932,LIDC-IDRI-0007,1
v3.0.1,1.23.5,2.4.0,1.4.1,3.8.20,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},1057ae31b9a466266e22f62efbfec32edfb7cda4,3D,"(1.0, 1.0, 1.0)","(128, 512, 512)",-974.6808834969997,-1000.0,400.0,b59eda6f8ad5b911e326d5333e0bc6ef317555c2,"(1.0, 1.0, 1.0)","(128, 512, 512)","(58, 396, 184, 2, 9, 10)",41,1,"(58.5609756097561, 399.7560975609756, 188.46341463414635)","(58.5609756097561, 399.7560975609756, 188.46341463414635)",-1000.0,-1000.0,41000000.0,-3.203426503814917e-16,0.0,0.0,-1000.0,0.0,-1000.0,-1000.0,-1000.0,0.0,0.0,1000.0,0.0,41000000.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,33.84615384615385,1.0,0.0,1.0,1.865312382290311,1.865312382290311,1.865312382290311,1.0,0.6664869130467637,25.27787713925235,0.740227568267393,0.8255159474671672,0.35280825897064594,0.8741815483266832,0.8741815483266832,0.8741815483266832,1.0,1.0,0.0,1.0,1681.0,1681.0,1681.0,1.0,1.0,1.0,0.000594883997620464,0.000594883997620464,0.000594883997620464,-3.203426503814917e-16,0.024390243902439025,0.0,1.7776188747306527,13.682926829268293,0.33372992266508034,1.0291493158834029,41.0,0.0,1.0,31.682926829268293,31.682926829268293,31.682926829268293,1.0,0.036658647198716886,0.036658647198716886,0.036658647198716886,0.0,1000000.0,0.0,0.0,0.0,LIDC-IDRI-0011,6
v3.0.1,1.23.5,2.4.0,1.4.1,3.8.20,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},1057ae31b9a466266e22f62efbfec32edfb7cda4,3D,"(1.0, 1.0, 1.0)","(128, 512, 512)",-974.6808834969997,-1000.0,400.0,59c22a0515423c9f5f36ee3a9770a1192226bf83,"(1.0, 1.0, 1.0)","(128, 512, 512)","(102, 147, 310, 6, 23, 15)",206,2,"(104.48543689320388, 158.37864077669903, 316.88349514563106)","(104.48543689320388, 158.37864077669903, 316.88349514563106)",-1000.0,-1000.0,206000000.0,-3.203426503814917e-16,0.0,0.0,-1000.0,0.0,-1000.0,-1000.0,-1000.0,0.0,0.0,1000.0,0.0,206000000.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,170.46153846153845,1.0,0.0,1.0,1.973420991511206,1.973420991511206,1.973420991511206,1.0,0.7568578615859314,127.10742936208133,0.7373606727458222,0.8274831964152353,0.43622071941691043,0.8798673674833553,0.8798673674833553,0.8798673674833553,2.0,1.0,0.0,1.0,18005.0,18005.0,18005.0,1.0,1.0,0.5,0.0017441011747230967,0.0017441011747230967,0.0017441011747230967,0.9999999999999993,0.009708737864077669,7396.0,2.720681073373211,35.679611650485434,0.17320199830332736,3.793477236308794,206.0,0.0,1.0,33.883495145631066,33.883495145631066,33.883495145631066,1.0,0.050239284403022166,0.050239284403022166,0.050239284403022166,0.0,1000000.0,0.0,0.0,0.0,LIDC-IDRI-0011,10
v3.0.1,1.23.5,2.4.0,1.4.1,3.8.20,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},a8a53ba2629168a9aceed5adcd8231aff775f6a6,3D,"(1.0, 1.0, 1.0)","(125, 512, 512)",-972.8267317199707,-1000.0,400.0,20c949cb85e40b23e21a6ef15866266a1ba44edd,"(1.0, 1.0, 1.0)","(125, 512, 512)","(87, 174, 133, 8, 42, 25)",449,1,"(90.44320712694878, 192.3184855233853, 144.78619153674833)","(90.44320712694878, 192.3184855233853, 144.78619153674833)",-1000.0,-1000.0,449000000.0,-3.203426503814917e-16,0.0,0.0,-1000.0,0.0,-1000.0,-1000.0,-1000.0,0.0,0.0,1000.0,0.0,449000000.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,381.53846153846155,1.0,0.0,1.0,1.765998180345766,1.765998180345766,1.765998180345766,1.0,0.6805187233272785,295.83146033608114,0.7689397826339005,0.8497515847181771,0.3435276141697849,0.8966898832816609,0.8966898832816609,0.8966898832816609,1.0,1.0,0.0,1.0,201601.0,201601.0,201601.0,1.0,1.0,1.0,4.9602928556902e-06,4.9602928556902e-06,4.9602928556902e-06,-3.203426503814917e-16,0.0022271714922048997,0.0,2.4165215696162328,97.9042316258352,0.2180495136432855,2.784123094627507,449.0,0.0,1.0,26.857461024498885,26.857461024498885,26.857461024498885,1.0,0.0580372546197395,0.0580372546197395,0.0580372546197395,0.0,1000000.0,0.0,0.0,0.0,LIDC-IDRI-0013,3
v3.0.1,1.23.5,2.4.0,1.4.1,3.8.20,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},d9ba79e224636766738d55d9cfc4b537005f9b0b,3D,"(1.0, 1.0, 1.0)","(209, 512, 512)",-981.3158632670863,-1000.0,400.0,502008e6657b264d1eb21d95d357a773c5e39320,"(1.0, 1.0, 1.0)","(209, 512, 512)","(171, 295, 238, 15, 35, 28)",1007,1,"(178.21847070506456, 314.9672293942403, 253.6454816285998)","(178.21847070506456, 314.9672293942403, 253.6454816285998)",-1000.0,-1000.0,1005618157.0,0.08574395479607207,0.0,121.53435663741023,-910.0,1.3707049659335988,-999.2979145978153,-1000.0,-1000.0,90.0,0.0,999.3136457896342,10.170479660699675,1005618157.0,0.9822395170253113,31.440541827860393,1.017103661601374,0.17013602248927098,0.06310582192514934,0.028177765415870974,0.02202947836616986,0.22237953869768728,0.014108410064775924,0.08706028562890436,0.02170095830250268,0.9941965478581665,0.9937379017977513,0.9988615740478857,0.9974344192931279,-0.0664773978397494,0.043786789939213096,0.007833157364680536,1.0077335927568596,0.9793548207004642,0.09859456482528775,0.09117219887984557,0.9895744234472096,2.015467185513719,0.08816898827249785,0.012551810945510205,792.4518320639665,0.9778140636923891,0.03200207288030902,1.067099541713862,2.140931886082649,2.208031427796511,2.1317937154711553,0.9908618293885058,0.9364574942197562,581.306753792373,0.7159102120915951,0.8046749675349477,0.5623583372015187,0.8698584956220669,0.9369580373359289,0.8607203250105726,3.6666666666666665,0.3055555555555556,0.8055555555555555,5.5,81679.08333333333,81683.58333333333,81678.47048611111,0.38715277777777773,7.0,0.5833333333333334,0.7731482331734858,5.273148233173486,0.16030101095126348,2.2212518360044644,0.011916583912611719,74637.07638888889,2.8146606559061804,182.2591857000993,0.1809922400199596,4.189476050960062,989.1151936444886,0.02562598059857068,1.0536246276067527,41.13704071499504,41.19066534260179,41.129737669645806,0.9926969546507779,0.049226267392389174,0.10285089499914189,0.041923222043167056,1.806118800185176,0.09345443328528108,0.15982930695457181,9.525774932075363e-05,1.2410276374505989,LIDC-IDRI-0015,1
v3.0.1,1.23.5,2.4.0,1.4.1,3.8.20,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},68e9fe7a9e3b67ebabf0223185a27186e969c51e,3D,"(1.0, 1.0, 1.0)","(141, 512, 512)",-982.3644607760382,-1000.0,400.0,8c27710413ba3c0d3a650f44b42ec79a544396ae,"(1.0, 1.0, 1.0)","(141, 512, 512)","(72, 423, 168, 5, 31, 26)",306,1,"(74.12091503267973, 437.5718954248366, 181.1078431372549)","(74.12091503267973, 437.5718954248366, 181.1078431372549)",-1000.0,-1000.0,306000000.0,-3.203426503814917e-16,0.0,0.0,-1000.0,0.0,-1000.0,-1000.0,-1000.0,0.0,0.0,1000.0,0.0,306000000.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,260.0,1.0,0.0,1.0,1.9079906389411685,1.9079906389411685,1.9079906389411685,1.0,0.6549704729172577,201.6454315030398,0.7712462628666088,0.8496732026143791,0.48228903493944814,0.8991763173709374,0.8991763173709374,0.8991763173709374,1.0,1.0,0.0,1.0,93636.0,93636.0,93636.0,1.0,1.0,1.0,1.0679653124866504e-05,1.0679653124866504e-05,1.0679653124866504e-05,-3.203426503814917e-16,0.0032679738562091504,0.0,2.255687510131642,75.38562091503267,0.24635823828442052,2.128882053910889,306.0,0.0,1.0,26.22222222222222,26.22222222222222,26.22222222222222,1.0,0.055679878947463755,0.055679878947463755,0.055679878947463755,0.0,1000000.0,0.0,0.0,0.0,LIDC-IDRI-0016,1
v3.0.1,1.23.5,2.4.0,1.4.1,3.8.20,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},68e9fe7a9e3b67ebabf0223185a27186e969c51e,3D,"(1.0, 1.0, 1.0)","(141, 512, 512)",-982.3644607760382,-1000.0,400.0,d0bfdc8b85072397c6c917646800bb990107a129,"(1.0, 1.0, 1.0)","(141, 512, 512)","(127, 328, 266, 5, 27, 24)",283,1,"(128.93639575971733, 341.28621908127207, 277.0812720848057)","(128.93639575971733, 341.28621908127207, 277.0812720848057)",-1000.0,-1000.0,283000000.0,-3.203426503814917e-16,0.0,0.0,-1000.0,0.0,-1000.0,-1000.0,-1000.0,0.0,0.0,1000.0,0.0,283000000.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,229.76923076923077,1.0,0.0,1.0,1.9381994133860059,1.9381994133860059,1.9381994133860059,1.0,0.8285697195593615,163.46596852043433,0.7050287216321711,0.8119054090785538,0.38181691683620145,0.8625453006973556,0.8625453006973556,0.8625453006973556,1.0,1.0,0.0,1.0,80089.0,80089.0,80089.0,1.0,1.0,1.0,1.2486109203511094e-05,1.2486109203511094e-05,1.2486109203511094e-05,-3.203426503814917e-16,0.0035335689045936395,0.0,2.850806039829676,44.399293286219084,0.1568879621421169,4.139944311952952,283.0,0.0,1.0,38.83745583038869,38.83745583038869,38.83745583038869,1.0,0.04358153557444549,0.04358153557444549,0.04358153557444549,0.0,1000000.0,0.0,0.0,0.0,LIDC-IDRI-0016,6
